65264,96,16450,65520,65527,472,132.25,0.00,241,0.00,0,0
76,65510,16360,65497,27,455,270.25,0.00,243,0.00,1,6
65168,714,19386,65525,65513,408,-212.75,0.00,240,0.00,0,18
64936,18,16340,1,56,378,-5.75,0.00,241,0.00,0,27
65132,65514,16404,65518,65506,322,120.75,0.00,237,0.00,0,36
64686,65532,16408,4,65526,221,350.75,0.00,239,0.00,0,47
64802,65396,16164,65532,65527,74,-109.25,0.00,235,0.00,0,56
65348,60,16402,65529,25,65506,155.25,0.00,237,0.00,0,67
65518,70,16302,0,65515,65518,97.75,0.00,233,0.00,0,77
65376,72,16548,2,65531,65519,201.25,0.00,235,0.00,0,86
65456,42,16362,1,65515,65502,327.75,0.00,232,0.00,0,96
65500,36,16444,1,65514,65479,-40.25,0.00,233,0.00,0,107
65330,28,16384,1,4,65448,-63.25,0.00,230,0.00,0,117
65472,114,16326,1,10,65427,178.25,0.00,232,0.00,0,126
338,100,16396,6,4,65457,86.25,0.00,228,0.00,0,136
398,80,16466,6,1,65521,155.25,0.00,230,0.00,0,147
16,56,16492,4,1,65532,212.75,0.00,227,0.00,0,157
65446,34,16360,1,6,2,-316.25,0.00,229,0.00,0,166
65508,65522,16318,65530,12,4,-189.75,0.00,226,0.00,0,176
84,44,16412,65533,11,14,-132.25,0.00,228,0.00,0,187
65496,26,16312,65532,8,31,-316.25,0.00,224,0.00,0,197
65482,24,16414,65533,1,42,339.25,0.00,226,0.00,0,207
65370,94,16404,65535,65531,33,-316.25,0.00,223,0.00,0,216
65506,78,16430,65534,12,0,293.25,0.00,224,0.00,0,226
65452,72,16370,1,12,0,-270.25,0.00,225,0.00,1,269
2,114,16328,2,65529,0,327.75,0.00,225,0.00,0,291
65486,138,16490,1,2,0,-350.75,0.00,221,0.00,0,334
65454,65478,16380,1,5,6,281.75,0.00,224,0.00,0,383
65526,46,16326,2,65534,8,-362.25,0.00,222,0.00,0,432
65480,4,16360,65535,2,7,-189.75,0.00,223,0.00,0,480
65478,44,16338,1,65533,5,-270.25,0.00,224,0.00,0,530
65454,84,16414,2,2,0,258.75,0.00,222,0.00,0,578
65438,110,16346,2,65535,65535,-316.25,0.00,224,0.00,0,608
65534,64,16388,4,65535,65535,-270.25,0.00,220,0.00,0,617
65468,2,16400,2,1,1,-327.75,0.00,223,0.00,0,627
12,92,16358,65535,3,0,-316.25,0.00,219,0.00,0,636
65480,66,16388,0,3,0,316.25,0.00,222,0.00,0,646
65434,16,16294,2,3,65535,327.75,0.00,218,0.00,0,657
65458,44,16378,2,2,0,-212.75,0.00,221,0.00,0,667
65460,64,16468,1,65534,0,212.75,0.00,218,0.00,0,676
65454,84,16494,1,65529,2,316.25,0.00,220,0.00,0,686
65504,152,16464,0,65531,65535,304.75,0.00,217,0.00,0,696
65480,26,16430,1,65532,65535,-270.25,0.00,219,0.00,0,707
65442,65520,16414,3,1,0,143.75,0.00,216,0.00,0,717
65508,65530,16398,2,1,0,212.75,0.00,219,0.00,0,726
65506,65512,16406,65535,65535,1,178.25,0.00,216,0.00,0,736
65502,65508,16394,0,65535,0,270.25,0.00,218,0.00,0,747
65518,28,16342,0,65534,0,235.75,0.00,215,0.00,0,757
65484,65528,16354,3,65531,1,327.75,0.00,218,0.00,0,766
65502,65466,16440,2,65533,65535,281.75,0.00,214,0.00,0,776
65534,96,16488,2,65534,65535,-327.75,0.00,217,0.00,0,787
14,65522,16492,1,65535,1,316.25,0.00,214,0.00,0,797
65436,42,16420,0,65534,0,-281.75,0.00,217,0.00,0,806
65472,70,16388,1,65531,2,-362.25,0.00,214,0.00,0,816
65478,108,16352,2,65527,0,201.25,0.00,216,0.00,0,827
0,56,16470,65535,65530,65535,155.25,0.00,213,0.00,0,837
65414,16,16412,2,65533,1,201.25,0.00,216,0.00,0,847
65514,60,16312,65535,65533,0,155.25,0.00,213,0.00,0,856
65518,65510,16394,1,65533,65534,201.25,0.00,216,0.00,0,866
65516,62,16506,65534,65534,1,143.75,0.00,213,0.00,0,877
65462,65530,16404,65534,2,65534,201.25,0.00,215,0.00,0,887
28,56,16362,65535,4,65535,132.25,0.00,212,0.00,0,897
65480,10,16418,0,1,0,178.25,0.00,215,0.00,0,906
65520,66,16430,0,2,65535,120.75,0.00,212,0.00,0,917
65428,102,16332,1,1,65535,155.25,0.00,215,0.00,0,927
65420,88,16430,0,0,1,109.25,0.00,212,0.00,0,936
65448,132,16342,1,0,2,143.75,0.00,215,0.00,0,946
65524,80,16478,2,65531,0,97.75,0.00,212,0.00,0,957
65466,120,16458,65535,65529,65535,120.75,0.00,215,0.00,0,967
65474,24,16426,65535,65529,2,86.25,0.00,212,0.00,0,977
65450,65520,16390,0,65532,65535,109.25,0.00,214,0.00,0,986
65436,56,16502,0,65532,1,63.25,0.00,211,0.00,0,997
65504,18,16292,0,65532,1,86.25,0.00,214,0.00,0,1007
0,18,16464,0,65535,0,51.75,0.00,211,0.00,0,1016
65480,16,16392,0,1,65535,63.25,0.00,214,0.00,0,1026
